mass,year,dispsersed
331,1980,Unknown
326,1980,Unknown
338,1980,Unknown
350,1980,Unknown
313,1981,Unknown
353,1881,Unknown
340,1981,Unknown
339,1981,Unknown
373,1981,Unknown
340,1981,Unknown
342,1981,Unknown
333,1982,Unknown
329,1982,Unknown
307,1982,Unknown
345,1982,Unknown
326,1983,Unknown
329,1983,Unknown
323,1983,Unknown
334,1983,Unknown
351,1983,Unknown
276,1983,Unknown
321,1983,Unknown
374,1983,Unknown
330,1983,Unknown
334,1983,Unknown
329,1983,Unknown
346,1983,Unknown
355,1983,Unknown
350,1983,Unknown
295,1983,Unknown
338,1984,Unknown
327,1984,Unknown
322,1984,Unknown
344,1984,Unknown
353,1984,Unknown
340,1984,Unknown
321,1984,Unknown
305,1984,Unknown
339,1984,Unknown
357,1984,Unknown
321,1985,Unknown
322,1985,Unknown
345,1986,Unknown
356,1986,Unknown
317,1986,Unknown
325,1986,Unknown
328,1986,Unknown
388,1987,Unknown
312,1987,Unknown
351,1987,Unknown
356,1988,Unknown
322,1988,Unknown
300,1988,Unknown
318,1988,Unknown
332,1988,Unknown
331,1988,Unknown
318,1988,Unknown
325,1989,Unknown
387,1989,Unknown
351,1989,Unknown
329,1989,Unknown
293,1989,Unknown
318,1990,Unknown
336,1990,Unknown
338,1990,Unknown
367,1990,Unknown
347,1990,Unknown
301,1990,Unknown
320,1990,Unknown
301,1991,Unknown
303,1991,Unknown
344,1991,Unknown
317,1991,Unknown
311,1991,Unknown
365,1991,Unknown
334,1991,Unknown
303,1991,Unknown
333,1991,Unknown
303,1991,Unknown
307,1991,Unknown
292,1991,Unknown
329,1991,Unknown
337,1992,Unknown
334,1992,Unknown
311,1992,Unknown
310,1992,Unknown
282,1993,Unknown
310,1993,Unknown
333,1993,Unknown
338,1993,Unknown
389,1993,Unknown
338,1993,Unknown
316,1993,Unknown
344,1993,Unknown
322,1993,Unknown
333,1993,Unknown
324,1993,Unknown
337,1993,Unknown
291,1993,Unknown
301,1993,Unknown
318,1994,Unknown
275,1994,Unknown
322,1994,Unknown
351,1994,Unknown
367,1994,Unknown
307,1994,Unknown
348,1994,Unknown
340,1994,Unknown
310,1994,Unknown
326,1994,Unknown
333,1994,Unknown
323,1994,Unknown
335,1994,Unknown
320,1995,Unknown
316,1995,Unknown
322,1995,Unknown
330,1995,Unknown
363,1995,Unknown
357,1995,Unknown
372,1995,Unknown
345,1995,Unknown
307,1995,Unknown
373,1995,Unknown
348,1995,Unknown
313,1995,Unknown
315,1995,Unknown
340,1995,Unknown
348,1995,Unknown
324,1996,Unknown
347,1996,Unknown
326,1996,Unknown
327,1996,Unknown
373,1996,Unknown
327,1996,Unknown
327,1996,Unknown
319,1996,Unknown
357,1996,Unknown
317,1996,Unknown
351,1997,Unknown
322,1997,Unknown
360,1997,Unknown
312,1997,Unknown
355,1997,Unknown
320,1997,Unknown
325,1997,Unknown
317,1997,Unknown
313,1997,Unknown
336,1997,Unknown
341,1997,Unknown
329,1997,Unknown
307,1997,Unknown
330,1997,Unknown
297,1997,Unknown
346,1998,Unknown
330,1998,Unknown
345,1998,Unknown
334,1998,Unknown
321,1998,Unknown
358,1998,Unknown
306,1998,Unknown
331,1998,Unknown
321,1998,Unknown
364,1998,Unknown
319,1998,Unknown
302,1998,Unknown
326,1998,Unknown
295,1999,Unknown
345,1999,Unknown
340,1999,Unknown
330,1999,Unknown
317,1999,Unknown
315,1999,Unknown
308,1999,Unknown
338,2000,Unknown
353,2000,Unknown
326,2000,Unknown
321,2000,Unknown
341,2000,Unknown
350,2000,Unknown
335,2000,Unknown
325,2000,Unknown
327,2001,Unknown
320,2001,Unknown
313,2001,Unknown
329,2001,Unknown
336,2002,Unknown
332,2002,Unknown
312,2002,Unknown
342,2003,Unknown
332,2003,Unknown
337,2003,Unknown
353,2003,Unknown
344,2003,Unknown
328,2003,Unknown
322,2003,Unknown
309,2003,Unknown
324,2004,Unknown
333,2004,Unknown
330,2004,Unknown
327,2004,Unknown
321,2004,Unknown
319,2004,Unknown
305,2004,Unknown
334,2004,Unknown
320,2005,Unknown
338,2005,Unknown
326,2005,Unknown
351,2005,Unknown
331,2005,Unknown
360,2005,Unknown
314,2005,Unknown
289,2005,Unknown
333,2006,Unknown
323,2006,Unknown
352,2006,Unknown
345,2006,Unknown
317,2006,Unknown
356,2006,Unknown
331,2006,Unknown
302,2006,Unknown
333,2006,Unknown
300,2006,Unknown
344,2006,Unknown
327,2006,Unknown
324,2006,Unknown
313,2006,Unknown
286,2007,Unknown
323,2007,Unknown
349,2007,Unknown
325,2007,Unknown
305,2007,Unknown
329,2007,Unknown
328,2007,Unknown
304,2007,Unknown
324,2008,Unknown
324,2008,Unknown
353,2008,Unknown
317,2008,Unknown
352,2008,Unknown
308,2008,Unknown
322,2008,Unknown
289,2008,Unknown
335,2009,Unknown
317,2009,Unknown
357,2009,Unknown
339,2009,Unknown
343,2009,Unknown
323,2009,Unknown
325,2009,Unknown
336,2009,Unknown
302,2010,Unknown
319,2010,Unknown
321,2010,Unknown
343,2010,Unknown
346,2010,Unknown
316,2010,Unknown
307,2011,Unknown
373,2011,Unknown
306,2011,Unknown
314,2011,Unknown
331,2012,Unknown
344,2012,Unknown
357,2013,Unknown
344,2013,Unknown
340,2013,Unknown
325,2013,Unknown
312,2013,Unknown
349,2013,Unknown
340,2013,Unknown
298,2013,Unknown
333,2013,Unknown
333,2013,Unknown
316,2013,Unknown
315,2013,Unknown
313,2014,Unknown
348,2014,Unknown
347,2014,Unknown
333,2014,Unknown
315,2014,Unknown
348,2014,Unknown
329,2014,Unknown
345,2014,Unknown
325,2014,Unknown
337,2014,Unknown
335,2014,Unknown
323,2015,Unknown
333,2015,Unknown
315,2015,Unknown
332,2015,Unknown
344,2015,Unknown
305,2015,Unknown
339,2015,Unknown
352,2015,Unknown
323,2015,Unknown
307,2015,Unknown
353,2015,Unknown
332,2015,Unknown
311,2015,Unknown
330,2016,Unknown
339,2016,Unknown
326,2016,Unknown
336,2016,Unknown
325,2016,Unknown
326,2016,Unknown
316,2016,Unknown
324,2016,Unknown
314,2016,Unknown
325,2016,Unknown
335,2017,Unknown
340,2017,Unknown
314,2017,Unknown
311,2017,Unknown
327,2017,Unknown
304,2017,Unknown
339,2017,Unknown
342,2017,Unknown
303,2017,Unknown
319,2017,Unknown
366,2018,Unknown
333,2018,Unknown
339,2018,Unknown
331,2018,Unknown
317,2018,Unknown
349,2018,Unknown
338,2018,Unknown
377,2018,Unknown
315,2019,Unknown
346,2019,Unknown
326,2020,Unknown
328,2020,Unknown
359,2020,Unknown
328,2020,Unknown
333,2020,Unknown
333,2020,Unknown
373,2021,Unknown
341,2021,Unknown
340,2021,Unknown
340,2021,Unknown
330,2021,Unknown
346,2021,Unknown
322,2021,Unknown
317,2021,Unknown
345,2022,Unknown
314,2022,Unknown
324,2022,Unknown
331,2022,Unknown
306,2022,Unknown
301,2022,Unknown
375,2023,Unknown
347,2023,Unknown
325,2023,Unknown
328,2023,Unknown
386,2023,Unknown
355,2023,Unknown
323,2023,Unknown
352,2023,Unknown
317,2023,Unknown
318,2023,Unknown
338,2024,Unknown
325,2024,Unknown
367,2024,Unknown
329,2024,Unknown
359,2024,Unknown
331,2024,Unknown
334,2025,Unknown
334,2025,Unknown
338,2025,Unknown
321,2025,Unknown
331,2025,Unknown
317,2025,Unknown
317,2025,Unknown
329,2025,Unknown
348,2025,Unknown
328,2025,Unknown
341,2025,Unknown
397,1985,Wisconsin
381,1988,Wisconsin
338,1990,Wisconsin
316,1992,Wisconsin
397,1995,Wisconsin
332,2019,Wisconsin
339,2023,Wisconsin
374,1989,Wisconsin
317,1995,Wisconsin
324,1997,Wisconsin
324,1998,Wisconsin
344,1998,Wisconsin
342,1999,Wisconsin
360,1999,Wisconsin
341,1999,Wisconsin
326,2002,Wisconsin
331,2003,Wisconsin
346,2003,Wisconsin
336,2005,Wisconsin
305,2006,Wisconsin
351,2006,Wisconsin
317,2012,Wisconsin
354,2016,Wisconsin
331,2017,Wisconsin
344,2018,Wisconsin
374,2025,Wisconsin
347,2018,Wisconsin
355,2022,Wisconsin
360,2025,Wisconsin
316,1995,Wisconsin
354,2006,Wisconsin
327,2012,Wisconsin
320,2025,Wisconsin
335,2022,Wisconsin
330,2020,Wisconsin
337,2023,Wisconsin
